date,invoice_no,product_ids,amount,customer_id
2023-11-22,63,"415142,88325,610825,352494",2910.0,23552
2025-05-07,64,131445,450.0,88747
2025-06-23,65,"58954,484253,589174,507197,351240",5010.0,83268
2024-02-07,66,"695595,448747,988227,66963",3148.0,6636
2023-10-03,67,"854079,838606,216391,382020,728053",5169.0,81697
2025-03-08,68,"280887,545525",2614.92,28560
2024-06-02,69,"348143,296814",3398.0,55100
2024-03-13,70,695000,999.0,67648
2024-01-30,71,1095755,1882.0,26540
2025-01-09,72,"835662,346304,191050,77320,466425",4303.0,46553
2024-07-25,73,"911109,286818,661207,949676",26574.0,62088
2025-06-03,74,"725938,841545",1399.0,7887
2023-12-10,75,"96274,105183,680312,742151",31521.0,97837
2023-12-27,76,129920,1218.0,10082
2025-01-16,77,845397,1679.0,74140
2025-07-31,78,"836670,228935,700850",13362.0,23120
2023-10-23,79,"332697,195286,401247,550486,156501",7005.48,57465
2025-02-16,80,"961905,215015,496938,325667",9378.26,56084
2023-08-29,81,"421792,876852,833737,776647",21384.62,27748
2024-08-24,82,"51257,500071",38062.43,28245
2024-08-07,83,"857570,754898,439734,301980",17525.0,88654
2024-08-01,84,"538982,420364,592461,780238,907842",2775.0,1224
2023-10-18,85,"981691,600639",628.0,93386
2024-02-22,86,"860927,715788,644223,465457",3792.0,1335
2023-08-25,87,"592672,703141,1001516,769343",4799.0,3399
2023-12-25,88,839431,499.0,9158
2023-09-24,89,"554923,171702,483321,929840,698606",5208.0,30230
2024-09-14,90,"546003,345980,1069824,454403,227618",26106.0,85725
2024-05-03,91,"601119,1019402,89120,277587",2925.0,98144
2025-01-05,92,"5083,240559",172686.0,75829
2025-04-26,93,"77411,581180,320252,855452",3307.0,34710
2025-01-29,94,"269635,200716,571943",1957.0,31712
2023-08-31,95,193779,149.0,24179
2024-07-29,96,"639311,165415,115050,348580",12684.0,77350
2024-06-26,97,"696300,290629,57568",3262.0,23625
2024-07-26,98,"956069,750780,436277",29170.0,3242
2025-05-13,99,"479016,375298,7117,423479,533885",15076.0,31987
2025-05-19,100,"1016526,607029",2375.5,8718
2023-10-13,101,214694,2999.0,28644
2024-05-16,102,"554553,980883,144127,217377",2912.0,96760
2024-05-18,103,"694016,34088,518865,927642,981382",4672.75,30296
2024-05-09,104,"601584,43725,772110,808977",46377.0,84838
2023-09-30,105,"235789,317532",33956.0,35727
2024-09-24,106,"1096682,387188,24541,435002,957612",2898.0,52574
2024-08-29,107,"625234,132681,962533,237331",24415.0,17341
2025-03-29,108,"1005868,225086,444722,675024,695533",25243.0,54670
2025-06-08,109,354752,3099.0,70128
2023-09-03,110,"301865,855846,489140,522704,679466",5806.0,73393
2024-05-11,111,"140318,509919,628261,205234",4784.0,28962
2024-07-29,112,"215932,105326",1298.0,86500
2024-06-03,113,"605596,500302,94850",13541.18,19536
2024-01-09,114,"1049171,113713,159893,796877",4871.0,28263
2023-08-12,115,1081413,445.0,62521
2024-08-25,116,"213646,976333,897725,33999,726118",7357.0,13294
2025-06-23,117,"747275,1077204,529775,509285",10019.0,70729
2023-12-04,118,"340024,527283,483161",35497.0,1523
2025-05-14,119,844540,599.0,63785
2024-01-04,120,"84262,227725,591145",25922.0,49961
2025-06-29,121,"654764,397258",2188.0,72913
2024-08-22,122,"86168,431295,213137,924580",1510.0,82981
2024-07-09,123,708563,503.0,31608
2024-05-12,124,707441,249.0,91993
2025-07-08,125,"24946,24611,496583",1443.0,6009
2024-06-13,126,"474229,399470,832090,581009",2444.0,88681
2025-07-28,127,"752407,732661,682293",22932.0,953
2024-09-23,128,174132,749.0,69270
2023-08-28,129,"278572,780915,149976,1095267,930846",3851.39,68835
2025-07-19,130,"458436,346250,427439,327034,1047602",24608.0,97148
2024-10-16,131,"1023076,278609",5546.66,98956
2023-12-17,132,"507559,750706,31165,588254,1072537",41494.0,6952
2025-03-16,133,"825543,256418,498738,198360",5205.0,823
2024-06-11,134,974873,1049.0,59683
2024-05-08,135,"613044,1096444,668433,19288,490772",8438.0,62172
2024-06-14,136,"328063,931363,678264,400641",4647.0,57860
2024-08-07,137,"829782,456793,985780,1081716,655243",5436.0,94830
2025-03-18,138,605663,449.0,7615
2024-12-22,139,"255397,526162",1758.0,1212
2023-09-06,140,"196843,568998,619020",8770.0,14628
2024-02-10,141,"1040214,67271,398426",2749.0,96660
2024-02-23,142,103728,495.0,55551
2024-07-11,143,"1041830,1099707,23131,636927,1030418",32903.32,30673
2024-02-11,144,171900,598.0,86788
2023-09-05,145,373892,1499.0,76337
2024-12-13,146,"121483,667012",3448.0,42565
2024-11-25,147,"490480,788986",2998.0,96271
2024-09-25,148,368566,899.0,76138
2024-03-07,149,"464572,558778,521479",3465.0,69075
2024-01-13,150,486345,1489.0,99461
2023-08-12,151,532585,719.0,80143
2024-10-16,152,"13899,623525,394492",2947.0,38026
2024-08-21,153,"514381,840426,261590",5274.0,47928
2024-03-27,154,"596216,270929,269609,252798",3696.0,8316
2024-07-18,155,"1008184,378173,918041,127599,289473",10519.0,37288
2024-08-22,156,16917,249.0,39438
2024-10-02,157,181847,399.0,8226
2024-03-11,158,"858688,192166,226409,577698",42797.0,66897
2023-09-26,159,"331570,285482,132401,162301,410595",3468.0,31899
2025-06-23,160,"1085621,737691,789527",4426.0,32938
2024-10-11,161,"611324,544317,233725",46020.0,53651
2024-10-05,162,"758168,697305,535118,890737",16279.0,75446
2024-10-15,163,"1056893,301674,707742",1043.0,38067
2024-04-16,164,"266531,530230,612567",3946.51,69638
2024-03-02,165,"934435,376126,792351,574251",1883.0,21814
2023-11-30,166,"1062411,831148,961505,885974,587745",7715.0,78342
2024-05-18,167,1042589,259.0,86016
2023-08-06,168,"876332,260620",753.0,76508
2024-11-12,169,"694272,1045977,484280,1007528,338797",4482.0,3946
2024-07-12,170,"639593,889775,75171,504879",9178.0,10513
2025-05-22,171,"102665,952015,621225,950872",21213.0,65832
2024-03-20,172,"973666,92343",2398.0,77712
2023-09-17,173,"548642,8753,428476,110411,121803",43320.0,15942
2024-02-08,174,508289,549.0,88383
2025-03-01,175,"638828,731075,450655,843578",7715.0,58443
2024-09-24,176,"160598,192175,1038379",1547.0,69511
2024-06-17,177,"602474,393533",814.0,7373
2025-03-15,178,"1023884,1002282,84166,563020,845541",19508.99,47842
2025-06-21,179,"107577,622586,399570,974992,876112",4620.0,28061
2023-10-07,180,"27910,346967",652.0,9342
2025-02-07,181,"1069481,204825,1060066",17485.96,17377
2023-12-08,182,"878000,141266,76713,540626",6820.0,50134
2025-04-18,183,392032,345.0,26077
2025-01-31,184,"588107,180537,102291,401345,316970",10204.0,89063
2025-03-12,185,"760208,46449,729546",14012.0,11028
2023-10-28,186,"622685,642876,1026091,311317",19033.22,62040
2023-12-11,187,484196,1671.0,86436
2025-07-04,188,"868419,176666,868645",100297.0,52034
2024-09-22,189,"470270,156627",1563.0,67312
2023-08-19,190,"462875,621925,1076455",1826.0,54319
2025-07-31,191,"850672,56442",4548.0,5657
2025-02-23,192,640053,2094.0,87006
2023-10-25,193,"961850,549135,762655",35402.0,44273
2023-11-11,194,421371,699.0,91772
2024-09-22,195,"985367,716994,1033701,7299",2764.0,84687
2025-05-08,196,"154631,322793,1028180,223694",10618.0,93224
2024-10-02,197,"108762,974855,695622,822441,234127",44637.0,58415
2025-04-12,198,"717333,987353",317.0,44289
2023-11-10,199,"1005367,124513,76405,455792",5566.0,5702
2024-06-05,200,"602238,860619,770963,1041049,805043",4466.0,1133
2024-08-21,201,"842202,1004338",9127.66,17828
2024-06-07,202,"471127,263238,570935,954295,776951",3483.0,2465
2024-06-26,203,"288465,898726",3600.0,13047
2024-05-21,204,"215190,577607,426158,3598,111396",4744.0,39216
2024-02-21,205,"1096542,822289,591472,415955",1728.0,41758
2024-06-26,206,556037,14437.0,91577
2025-07-29,207,"508820,1041481,355834,203783,786906",5845.0,52807
2025-04-27,208,"955195,22279,192909,147487",3102.0,19507
2023-08-22,209,"557684,501842,599649",24075.95,47042
2024-04-28,210,"396961,597070,904328,885944,965948",2202.0,20883
2024-12-14,211,"837823,847424,625994,649604",3681.0,33883
2025-01-14,212,953605,1289.0,81695
2025-07-13,213,"221999,271744,256858",5186.0,29579
2023-11-02,214,"834858,276743,16750",2034.0,43733
2024-01-11,215,"118888,731681,577636,739538,143821",6557.0,21598
2025-07-09,216,"1057785,642013,23574",14607.0,41201
2024-02-06,217,"28250,1045376",656.0,17480
2024-04-28,218,"784549,434124,737884,775222,899599",21599.0,19225
2025-07-03,219,"935591,97823",1379.0,39329
2024-09-14,220,"275160,852140",1498.0,87894
2025-02-21,221,530053,833.0,44824
2025-06-26,222,"629992,650681",1995.0,65778
2024-09-15,223,"840691,732424,1009926,632671",3401.0,93989
2024-10-02,224,"255884,60873,161810,694584",4645.0,68936
2025-07-28,225,554104,264.0,91278
2023-08-10,226,"182840,185837",699.0,89974
2024-06-02,227,"303245,230268",35823.0,19331
2024-10-20,228,14410,999.0,22445
2024-04-08,229,"970218,446707,634908",3706.0,43122
2025-08-02,230,"203562,736437,89679,1023532",15011.58,96738
2024-10-10,231,"449210,332491,902723,831069,713237",5025.0,83383
2024-04-01,232,"238668,1077840,466526,905753",59980.0,41267
2023-08-25,233,"355968,793000",848.0,15957
2024-01-15,234,"18038,578461,592733,488234",22988.0,16761
2024-11-27,235,"1029996,1045122",1347.0,50429
2023-09-04,236,77214,664.0,12413
2024-05-28,237,"893223,437174",2448.0,98796
2024-03-24,238,184419,379.0,42665
2024-03-02,239,"1074078,414454",4414.0,87375
2024-02-02,240,"215467,331237",3765.0,71689
2024-09-04,241,"536700,453342,716758",4587.0,40695
2024-07-10,242,819246,989.0,73522
2025-03-23,243,"465657,463562,481005",6428.0,68990
2023-09-09,244,"556720,60914,505016,1073012",2697.0,38882
2023-11-30,245,"816664,307072,955926",1590.0,25364
2024-06-21,246,"140540,987413,414268",2849.0,91579
2024-12-21,247,"531394,224463,37698",26873.0,75624
2023-12-27,248,"657101,114559,761765,278679",25737.0,86800
2024-12-16,249,"393046,83756,677563,354377",1452.0,97554
2024-06-09,250,"101080,379444",6920.0,44387
2024-11-29,251,"800281,177179",1888.0,91356
2025-01-08,252,"184374,385973,3002",1239.0,62718
2024-12-20,253,"719129,140338,907229,119159",1591.0,49515
2023-09-08,254,"386984,805608,161541,38440,845843",6129.0,32312
2024-04-04,255,"834345,241687,50018,207345",23229.0,23587
2024-10-26,256,"60646,626452",518.0,70498
2025-01-24,257,"733689,730648",5784.0,96208
2024-02-14,258,"353079,849398",2199.0,11550
2023-11-21,259,"184311,56374",485.0,70728
2023-10-04,260,"395542,9351,120306",28465.0,45727
2025-02-13,261,"613100,630257,995511,928572,584138",6424.0,55831
2024-01-21,262,"216916,476988,886113,613027,164268",3417.0,51615
2025-01-26,263,149125,299.0,81504
2024-12-27,264,"847807,566781,589389,483248",7944.0,82009
2025-01-30,265,"863118,361317,690114,1049044",3531.0,9132
2023-11-04,266,"180683,158743,270009,903362",2621.0,75231
2025-05-20,267,"508045,994670,1076990,107286,183617",14277.0,34940
2024-05-26,268,"1027125,415785,308562,1096819,554470",2411.0,82060
2023-11-01,269,"681565,1022809,297621",8708.3,61161
2024-04-01,270,"867407,913971",644.0,38246
2023-08-22,271,"1096324,625695",5224.0,75777
2024-03-04,272,"238225,153585",40363.0,3214
2024-10-06,273,"1080748,750678",22236.0,92192
2024-04-02,274,"509346,718576,757835,871167",16488.0,9784
2025-02-04,275,"398271,103000,240828",61814.0,60055
2025-07-03,276,"426746,166125,334173,214239,743482",6813.0,62050
2024-10-17,277,"430436,550974,62078,789011",2947.0,91556
2023-11-02,278,"252681,414709",815.55,66481
2024-09-12,279,"741475,119253",3398.0,21794
2024-05-29,280,385251,759.0,72778
2025-02-12,281,"288956,119476,162832,780992",7982.0,9451
2024-06-04,282,"539840,87104,744229,241647",84689.0,8627
2023-11-29,283,746354,550.0,54727
2025-05-19,284,593937,699.0,42161
2024-05-08,285,"125198,292068,833278",2918.0,77018
2025-05-09,286,487237,2799.0,59521
2023-10-30,287,"956075,973790,286136",2237.0,7009
2025-04-03,288,"169923,34025,614822,274906,15746",30862.0,93419
2025-05-07,289,"1032050,893039,595702",823.0,50017
2025-02-26,290,"643077,314892",2295.0,82734
2023-12-18,291,"328743,446139,228062,306957",21324.0,96149
2023-12-20,292,"466926,355205,285732,630162,182118",24709.0,34983
2024-09-11,293,"1090950,672366,499081",4014.0,77632
2024-08-12,294,"1013987,508565,117705,40153,121753",2681.0,4813
2025-06-30,295,"674777,932425,247557,308230,625256",3609.0,36299
2024-09-11,296,"96062,1097392,668941,733116,819550",5064.0,86915
2023-12-23,297,"401174,1011641,863587",37242.0,93466
2023-10-25,298,"509977,830047",1548.0,26135
2024-07-15,299,"563354,183892,832613,268745",2462.0,73445
2025-01-21,300,"654709,678424,982780,227122",44389.0,921
2024-09-13,301,"104581,126276,857566",3997.0,81303
2023-12-16,302,81017,289.0,27533
2025-03-04,303,"901720,700838,543273,74403,920970",3991.0,84203
2023-09-04,304,"1033051,972936,1098858",3347.0,98150
2024-02-10,305,470596,1399.0,30872
2024-06-20,306,"706425,949814,972572",18078.0,40274
2024-01-23,307,"549325,184140,347030,948949,951112",21591.0,26186
2023-11-28,308,"136710,488898,515876,65250,171841",9876.0,12521
2025-07-09,309,"564507,460513",3297.55,9675
2025-02-22,310,"427770,903636,265541,99862,556056",66137.0,97006
2025-05-11,311,"1028415,388180,488236,985141,1069100",6483.0,64909
2025-02-02,312,951658,1279.0,92219
2024-06-29,313,"1012428,75064",1393.0,46771
2025-07-18,314,"1026920,38147,757951,160751,492954",15197.33,60199
2024-11-26,315,751709,4974.0,63655
2023-09-16,316,"1074525,1029635",1103.0,27586
2024-06-12,317,"479569,602198,650528,350447",12410.0,44301
2024-07-15,318,"227590,536662,1011493",30256.0,91003
2024-09-03,319,880378,2805.0,11502
2025-06-21,320,"728553,201760",4624.0,47267
2025-02-19,321,"89092,1098251,1035978",1697.0,70283
2023-08-19,322,550895,293.0,47658
2025-06-15,323,"714804,24800,714375",1918.0,48895
2024-06-26,324,"765033,69482",22508.0,85290
2025-04-19,325,"422752,355540",2349.0,50654
2024-10-22,326,"181954,912524,842074,737527",6557.0,33702
2024-11-07,327,"451814,1002478,191800,292553,744352",6117.0,70246
2025-06-13,328,"464374,564456,1057142,484615,468983",7568.43,57509
2025-02-27,329,"710550,349433,400392",12992.0,6163
2024-10-17,330,"1013351,994948,967941,398998",42003.12,37788
2025-06-04,331,"79687,509724,902114,262322,258552",4018.0,68408
2024-10-05,332,235684,22776.0,70633
2025-04-02,333,"1060347,927496,800506,565388,1051831",8540.0,885
2024-07-22,334,952129,549.0,46220
2025-06-26,335,"134721,608269,293932,184952",3265.19,81509
2025-05-30,336,"945935,658942",2946.0,94209
2025-07-20,337,"126501,847549,799983,511654,909733",10743.0,46574
2025-05-09,338,"231259,493058",19275.0,67490
2023-10-22,339,"579710,582554,84184",2996.0,76652
2024-08-26,340,"380007,273097,515127",41025.0,53340
2025-02-16,341,127189,2792.0,75501
2025-06-08,342,"749279,205218,715368,821909",24124.0,89687
2025-07-01,343,"648042,670746",2428.0,86305
2025-02-18,344,"131072,1064210",995.0,75203
2025-02-04,345,"19224,475894,86707,385648,336141",2840.0,79603
2023-08-27,346,"480557,691970",6038.0,6569
2024-07-08,347,"648071,909216,104658,931957,829419",8360.27,36665
2024-07-05,348,224528,46504.0,1700
2024-02-27,349,"944623,269350,1035272,876873",2826.0,41547
2023-09-13,350,"281135,743135",3188.0,45123
2023-09-08,351,61316,362.0,56700
2025-01-02,352,"667321,122952,193289,742975,160722",9315.4,31003
2024-01-17,353,"965866,244260,1094564,108057,1027968",7106.5,24653
2023-11-21,354,"271678,602907,761634",53523.0,59722
2024-12-10,355,"678917,343325,874018,388429",2091.0,89914
2023-08-16,356,"419710,295508,444186,32470",3136.0,90508
2024-10-22,357,"406745,277953,742350",26047.0,2583
2024-11-02,358,"510228,523999,253405,383682",2876.0,61085
2025-01-11,359,"1069066,676670,770032",22342.0,7647
2024-11-24,360,"1098769,625640,746163",1383.0,75961
2024-04-02,361,"113033,741230",1139.0,99248
2024-06-14,362,495472,763.0,17268
2025-06-26,363,"753708,17785,43453",27441.0,89635
2024-05-08,364,"700804,342170,667239,19174,665337",5629.0,32568
2024-05-11,365,244774,499.0,82702
2023-10-30,366,"656442,655469",1201.0,57301
2024-08-03,367,"952781,956164,876386,391710,529453",21596.0,20686
2025-06-02,368,"693642,521107",1434.0,51192
2024-05-27,369,"510148,364102",3553.0,17449
2024-08-04,370,1043170,449.0,78949
2024-07-10,371,801984,249.0,61226
2024-03-12,372,"203377,419276",3498.0,99773
2024-06-01,373,"758272,657164,949257,535714,792833",31171.0,96888
2024-01-18,374,"613192,432910,13242",2908.0,54426
2023-09-03,375,657534,356.0,64927
2024-06-02,376,"43863,800409",883.0,14380
2024-04-26,377,"452415,796649,247040,577221,596814",4487.0,62292
2024-04-19,378,"829426,720156,1056564",2283.0,58994
2024-04-06,379,"299890,147489,470562",897.0,73680
2025-05-12,380,"288143,525903,936411,47429",1615.0,43791
2024-05-19,381,"760338,680829,755650,363331,704679",29313.0,8620
2024-01-09,382,"394767,237674,826711,206442",10978.0,8848
2023-10-28,383,"583869,731367",2088.0,80127
2024-03-04,384,372858,279.0,15300
2024-07-02,385,"597644,77553,32912,870481",2796.0,97031
2024-01-24,386,"245712,710919,958950",5215.0,77591
2025-06-22,387,"632372,1008848",7068.0,18794
2023-10-19,388,591889,2939.0,38103
2024-02-22,389,"246572,871818,117833",1622.0,595
2025-07-22,390,"577152,538387",12407.5,53810
2025-01-17,391,119775,455.0,96931
2024-04-26,392,72753,245.0,63142
2025-06-28,393,"212803,861056,414336",4058.0,22315
2024-12-12,394,1055428,3840.0,28828
2024-03-23,395,"380222,419793,216930",6312.0,78067
2024-10-14,396,"974835,132243,840105",2474.0,67767
2023-11-20,397,85926,1947.0,88707
2024-05-16,398,"888810,599508,953032,339704,347210",3371.0,89267
2024-05-28,399,"1081221,160360,14874,398267,852846",6693.0,14771
2023-09-12,400,"182523,165800,36045,996322",2096.0,54320
2023-10-08,401,"90385,191039,865627",1753.0,40247
2024-07-19,402,655865,949.0,50699
2025-01-22,403,"1024825,488463,327855,545029",16026.65,22634
2023-08-23,404,426861,50990.0,13893
2025-05-02,405,"478712,871140",1949.0,49374
2025-07-18,406,"910008,565462,970988",2186.0,36856
2025-06-30,407,"359262,906600,814639,246375,85114",5624.32,41393
2025-03-10,408,979454,829.0,18016
2024-01-26,409,555137,583.0,77639
2024-05-12,410,"767543,4011,360235,900049,353499",8646.0,96386
2024-06-12,411,"608866,912764,547264,699483",2976.0,73690
2025-01-31,412,"869841,689287,954451,395674,246405",3702.0,78410
2023-09-19,413,1086251,699.0,44382
2025-01-05,414,"83920,669001,675821",2768.0,45551
2023-12-16,415,"793682,119102,238343",45520.0,33867
2024-03-20,416,"1088390,856005,812918,105171,814212",7089.0,87206
2024-02-01,417,631817,616.0,68552
2025-02-25,418,"96799,148110",1448.0,86523
2025-06-06,419,"523499,1037196,1042808",2798.0,38071
2025-02-04,420,"555201,151034,746910,415169,562737",40868.0,33165
2024-09-02,421,"188115,599799,452176",6014.0,18596
2024-11-26,422,"1041127,155424,1074494,969411",4296.0,5851
2023-12-02,423,871335,589.0,44709
2025-05-16,424,"799674,263390,314896,988031",13187.0,56409
2023-12-23,425,"1074989,1098284,167195",977.0,85810
2024-01-09,426,"853907,623400",2734.0,71632
2024-05-01,427,"878973,428937",3420.0,25725
2023-12-06,428,"994199,4475,376783,628241",16217.0,11211
2024-05-16,429,432904,799.0,78781
2025-07-13,430,41986,419.0,78695
2024-12-17,431,"264861,875595,976388,295367",3626.0,96063
2023-12-16,432,1013336,1549.0,30967
2023-09-16,433,"37507,328802",3989.0,62589
2025-06-25,434,118900,2493.42,70793
2023-11-10,435,"254830,305175,926578",10102.0,26097
2025-03-31,436,"1023411,64639",23796.75,34158
2025-07-18,437,"363335,237885",28330.0,96678
2023-12-15,438,"878941,778278,65623",2159.0,34301
2025-06-09,439,"382889,302176",546.0,51779
2024-08-05,440,"443851,954384,894376,700871,13840",22446.0,85260
2023-08-29,441,"1084128,121553,294195,383213",2370.0,12846
2024-11-19,442,"1006024,166223,303980",8984.0,80084
2024-11-08,443,"953850,711616,531635,960295",3853.0,39234
2024-05-05,444,"1101188,584316",1483.0,29486
2025-01-02,445,"3237,1039406,420052",5668.0,57112
2024-09-29,446,"916195,640257,327918",2838.0,37839
2024-09-29,447,"773156,798917,742409,622132",5332.0,97330
2024-01-06,448,"97002,56316,430896,438225",20566.0,19851
2025-05-10,449,633479,1085.0,87115
2023-10-05,450,"482353,804899",9993.0,43489
2023-08-25,451,"351050,604082,578634,745352,528696",3336.0,75342
2023-11-10,452,851536,2167.0,40594
2025-03-03,453,"68765,1067121,419909,1022100,556586",38272.76,68656
2023-11-20,454,"90241,288368",588.0,7490
2024-06-19,455,5587,1994.0,46190
2024-08-20,456,"851855,877929,966277,561060",4330.0,63891
2024-12-31,457,"840110,984313",1748.0,17396
2025-04-04,458,"684366,669757,925981,233858",17322.0,77085
2024-10-13,459,"534765,1072562,165560,481116,572332",3233.0,22911
2025-03-29,460,"760128,966353",24441.0,51084
2025-01-12,461,"715888,254955,997915,280723",3915.0,95523
2023-09-11,462,"127907,921619,329314,752364,298090",35731.67,7726
2024-12-02,463,432646,1099.0,89821
2025-01-03,464,66467,2447.0,4764
2024-08-26,465,"782764,378272,830683",1333.0,41430
2025-03-10,466,"32963,124801,252877,617559",31037.0,98063
2023-10-28,467,"1016065,862847",2848.0,23163
2024-03-15,468,"985880,64709",4464.0,6490
2023-09-16,469,"246935,597263,534919,772678",2101.0,68667
2024-09-01,470,250129,499.0,93121
2024-08-26,471,"1084809,1043663",829.0,66225
2025-05-30,472,"539866,490219,143171,143707,3645",9803.0,35187
2025-07-15,473,"957470,19328,707073",1769.0,10501
2024-10-10,474,"496676,1040643",2413.0,16902
2023-11-23,475,"608536,70705,346914,550318",9128.0,50909
2025-03-11,476,46106,230.0,33695
2023-10-02,477,"226566,940001,486734,543290,453039",42673.0,9475
2024-01-13,478,"501048,940686,147095,1048167",42792.24,92626
2024-06-24,479,410430,299.0,54718
2024-06-11,480,"948240,965120",29499.0,18562
2025-02-03,481,"454319,270103,732217,170658",7425.0,88413
2025-03-19,482,"712427,142543,150077,141377,1002118",4076.0,51957
2024-08-26,483,"546319,626987,46677,718313",6384.0,35588
2024-05-14,484,"736228,422470,444573,671995,702963",2278.0,67406
2024-12-02,485,533640,99.0,554
2025-03-08,486,683639,699.0,76448
2024-04-22,487,581488,595.0,72508
2025-01-09,488,116979,2194.0,6015
2024-03-10,489,922871,1320.0,53286
2024-09-26,490,"260264,973118,68958,313429,250123",9327.0,57118
2024-11-21,491,896371,2395.0,53719
2023-12-16,492,785034,2999.0,79161
2025-02-17,493,"68483,312826,314210",2217.0,12646
2024-12-16,494,"831025,452544,702698,136061,325253",3201.0,7597
2024-12-21,495,"586158,791109,567030,519741",4107.0,47202
2025-03-13,496,825058,1150.0,49228
2023-08-15,497,"911544,175175,1015124,216927,923266",2543.0,8641
2024-05-31,498,"446376,581751,11990,598508",13745.0,60267
2024-08-02,499,"228099,1069622,921507",26368.0,81314
2024-12-09,500,"850864,689092",3988.0,61602
2024-05-16,501,"639657,1083800,21866",3047.0,14341
2024-04-20,502,"297465,876280,7684,781088,1021315",5735.95,90252
2025-03-07,503,"671786,776181,803839",2413.55,52471
2023-11-22,504,1065578,199.0,59021
2024-08-07,505,917217,499.0,91045
2023-09-20,506,"5278,1083071",7658.0,8867
2023-08-28,507,190302,1350.0,83265
2023-10-09,508,604370,18490.0,35357
2024-04-22,509,"506361,463560,709119,393437",4697.0,90287
2023-08-05,510,"340697,834855",768.0,28176
2025-03-19,511,"195543,516231,212639,238290,486211",48458.0,55789
2023-12-12,512,275827,325.0,18591
2023-11-22,513,404101,945.0,48695
2024-03-02,514,190502,497.0,58957
2024-12-25,515,"551397,587538,1077571,707095,227569",39013.0,77958
2025-04-09,516,"896847,640169,832621,324732",3220.0,87350
2025-02-18,517,"253520,829595",509.0,25880
2024-10-29,518,691278,930.0,51523
2024-12-14,519,"71665,396750,604995",2883.0,49853
2024-02-26,520,"9343,809011,568007,591072",3375.0,89970
2024-05-18,521,"593071,301769",5228.0,96811
2025-07-28,522,"830384,352572,1048730",1187.0,65242
2024-09-06,523,"743551,467573,240933,649408",215754.0,5739
